mdcd_dlvrbl_type_cd,deliverable_type_id
0,Demonstration-Specific Deliverable
1,Monitoring Report
3,Monitoring Report
6,Monitoring Report
12,Monitoring Report
50,Interim Evaluation Report
51,Evaluation Design
52,Monitoring Report
53,Monitoring Report
54,Monitoring Report
55,Monitoring Report
57,Quarterly Budget Neutrality Report
58,Demonstration-Specific Deliverable
59,Demonstration-Specific Deliverable
60,Mid-point Assessment
61,Implementation Plan
62,Monitoring Protocol
63,Evaluation Design
64,Evaluation Design
65,Summative Evaluation Report
66,Summative Evaluation Report
67,Interim Evaluation Report
68,Interim Evaluation Report
69,Transition Plan
70,Annual Budget Neutrality Report
71,Close Out Report
72,Transition Plan
73,Monitoring Report
74,Monitoring Report
75,Monitoring Report
76,HCBS Evidentiary Report
77,HCBS Quality Improvement Strategy Report
78,HCBS Performance Measures Report
79,Monitoring Report
80,Monitoring Report
81,Interim Evaluation Report
82,Summative Evaluation Report
83,Demonstration-Specific Deliverable
84,Evaluation Design
85,Demonstration-Specific Deliverable
86,Demonstration-Specific Deliverable
87,"HCBS Deficiency, Remediation and A/N/E Incident Report (1915(c)-like)"
88,HCBS Actual and Estimated Enrollment Number Report (1915(i)-like)
